DATE,TIME,SPORT,COMPETITION,ROUND,TEAM A,TEAM B,LOCATION,VIDEO FORMAT,OPERATOR,TRACKING,OUTPUTS,SUPERVISOR,CARRIER IN,CARRIER OUT,PM,STATUS,LOGO
11/04/26,09:00,Tennis,BJK Cup,QR,KAZ,CAN,MCR2,1080i50,TBD,PGMOnly,1,S.Pedatella, SRT-Telstra , SRT-EIT ,F.Ferrara,Confirmed,BJKC_V2.png
11/04/26,10:00,Tennis,BJK Cup,QR,SLO,ESP,MCR2,1080i50,TBD,PGMOnly,1,S.Pedatella, SRT-Telstra , SRT-EIT ,F.Ferrara,Confirmed,BJKC_V2.png
11/04/26,11:00,Tennis,BJK Cup,QR,POL,UKR,MCR1,1080i50,TBD,PGMOnly,1,F.Gennaro, SRT-Telstra , SRT-EIT ,F.Ferrara,Confirmed,BJKC_V2.png
11/04/26,12:00,Tennis,BJK Cup,QR,SUI,CZE,MCR1,1080i50,TBD,PGMOnly,1,F.Gennaro, SRT-Telstra , SRT-EIT ,F.Ferrara,Confirmed,BJKC_V2.png
11/04/26,13:00,Tennis,BJK Cup,QR,BEL,USA,MCR1,1080i50,TBD,PGMOnly,1,F.Gennaro, SRT-Telstra , SRT-EIT ,F.Ferrara,Confirmed,BJKC_V2.png
11/04/26,TBD,Football,Ligue1,29,RCL,PSG,MCR2,1080i50,TBD,Tracking1,3,A.Altafini,Fiber - Globecast,Fiber - Globecast,A.Altafini,Confirmed,Ligue1_V2.png
12/04/26,TBD,Football,Serie A,32,ATA,JUV,MCR1,1080p50,TBD,PGMOnly,7,A.Altafini, Fiber - Eurovision, Fiber - Eurovision,S.Pedatella,Confirmed,SerieA_V2.png
12/04/26,TBD,Football,Serie A,32,BOL,LEC,MCR1,1080p50,TBD,PGMOnly,7,A.Altafini, Fiber - Eurovision, Fiber - Eurovision,S.Pedatella,Confirmed,SerieA_V2.png
12/04/26,TBD,Football,Serie A,32,CAG,CRE,MCR1,1080p50,TBD,PGMOnly,7,S.Pedatella, Fiber - Eurovision, Fiber - Eurovision,S.Pedatella,Confirmed,SerieA_V2.png
12/04/26,TBD,Football,Serie A,32,COM,INT,MCR1,1080p50,TBD,PGMOnly,7,S.Pedatella, Fiber - Eurovision, Fiber - Eurovision,S.Pedatella,Confirmed,SerieA_V2.png
12/04/26,TBD,Football,Serie A,32,FIO,LAZ,MCR1,1080p50,TBD,PGMOnly,7,S.Pedatella, Fiber - Eurovision, Fiber - Eurovision,S.Pedatella,Confirmed,SerieA_V2.png
